"COMIDv2_JR","lat","lon","samp_year","STATE_AB","obs_spec","HU4_ZoneID","HU8_ZoneID","HU12_ZoneID","exp_rich","StreamOrde","order_class","samp_length","width.x","width.y","width","area"
14768834,42.50294612,-88.33224031,2004,"WI",23,"HU4_36","HU8_181","HU12_19184",25.995,4,"MID",336,9.59,NA,9.59,0.00322224
14784047,42.50335141,-88.01239931,2002,"WI",6,"HU4_36","HU8_180","HU12_19181",6,2,"HW",112,NA,NA,NA,NA
1797157,46.59538564,-90.96667933,2001,"WI",8,"HU4_28","HU8_134","HU12_11371",8.497,2,"HW",NA,NA,NA,NA,NA
1797677,46.88164032,-91.05027261,2001,"WI",6,"HU4_28","HU8_134","HU12_19800",6,3,"MID",NA,NA,10.2,10.2,NA
1800285,46.50862855,-92.24272073,2004,"WI",10,"HU4_28","HU8_134","HU12_11336",11.99,2,"HW",244,7,NA,7,0.001708
1805235,46.46108676,-92.26445228,2004,"WI",6,"HU4_28","HU8_134","HU12_11336",6,1,"HW",132,3.34,NA,3.34,0.00044088
1817491,46.47264599,-91.27264354,2002,"WI",6,"HU4_28","HU8_140","HU12_11385",6,1,"HW",269,NA,NA,NA,NA
1817501,46.46272549,-91.29779732,2002,"WI",17,"HU4_28","HU8_140","HU12_11385",17,1,"HW",380,NA,NA,NA,NA
1850495,46.0427289,-91.48756342,2001,"WI",5,"HU4_29","HU8_141","HU12_11441",5,1,"HW",204,NA,NA,NA,NA
1850509,46.02144802,-91.48906168,2001,"WI",4,"HU4_29","HU8_141","HU12_11441",4,1,"HW",151,NA,NA,NA,NA
1873781,44.8272234,-92.3948862,2005,"WI",7,"HU4_55","HU8_330","HU12_11449",7,4,"MID",NA,NA,11.45,11.45,NA
1877801,44.48101895,-92.20498292,2004,"WI",2,"HU4_55","HU8_330","HU12_10056",2,2,"HW",119,3.71,NA,3.71,0.00044149
1878149,44.44568377,-92.21868713,2001,"WI",3,"HU4_55","HU8_330","HU12_10056",3.492,2,"HW",100,NA,NA,NA,NA
2113684,44.5989004,-91.3913519,2001,"WI",3,"HU4_55","HU8_375","HU12_10292",3,2,"HW",28,NA,NA,NA,NA
2113690,44.5976618,-91.4118936,2001,"WI",2,"HU4_55","HU8_375","HU12_10292",2,2,"HW",28,NA,NA,NA,NA
2113712,44.59376531,-91.51058328,2001,"WI",4,"HU4_55","HU8_375","HU12_10296",4,2,"HW",28,NA,NA,NA,NA
2113718,44.5993104,-91.3566346,2001,"WI",2,"HU4_55","HU8_375","HU12_10292",2,1,"HW",28,NA,NA,NA,NA
2113750,44.59074673,-91.28510277,2001,"WI",9,"HU4_55","HU8_375","HU12_10291",9,2,"HW",34,NA,NA,NA,NA
2113758,44.5886925,-91.46845057,2001,"WI",3,"HU4_55","HU8_375","HU12_10292",3,2,"HW",30,NA,NA,NA,NA
2113796,44.5808633,-91.27667417,2001,"WI",10,"HU4_55","HU8_375","HU12_10291",10,2,"HW",52,NA,NA,NA,NA
2113798,44.58436331,-91.44736241,2001,"WI",6,"HU4_55","HU8_375","HU12_10292",6,2,"HW",48,NA,NA,NA,NA
2113834,44.58297761,-91.51380378,2001,"WI",7,"HU4_55","HU8_375","HU12_10296",7,2,"HW",32,NA,NA,NA,NA
2113978,44.56634532,-91.55675436,2001,"WI",9,"HU4_55","HU8_375","HU12_10296",9,2,"HW",44,NA,NA,NA,NA
2113990,44.5625832,-91.26215677,2001,"WI",9,"HU4_55","HU8_375","HU12_10291",9,2,"HW",47,NA,NA,NA,NA
2114036,44.55793191,-91.45187081,2003,"WI",6,"HU4_55","HU8_375","HU12_10293",6,2,"HW",108,3,NA,3,0.000324
2114060,44.55770021,-91.64402918,2001,"WI",4,"HU4_55","HU8_375","HU12_10296",4,2,"HW",30,NA,NA,NA,NA
2114082,44.5530297,-91.54263756,2001,"WI",6,"HU4_55","HU8_375","HU12_10296",6,2,"HW",33,NA,NA,NA,NA
2114132,44.53568873,-91.23255398,2001,"WI",4,"HU4_55","HU8_375","HU12_10291",4,2,"HW",28,NA,NA,NA,NA
2114146,44.54227232,-91.37733696,2001,"WI",3,"HU4_55","HU8_375","HU12_10291",3,2,"HW",41,NA,NA,NA,NA
2114248,44.51847112,-91.35675888,2001,"WI",2,"HU4_55","HU8_375","HU12_10291",2,1,"HW",28,NA,NA,NA,NA
2114382,44.5486052,-91.25297757,2001,"WI",5,"HU4_55","HU8_375","HU12_10291",5,2,"HW",28,NA,NA,NA,NA
2116460,44.4796258,-91.8154037,2001,"WI",2,"HU4_55","HU8_375","HU12_10299",2,3,"MID",28,NA,2.17,2.17,6.076e-05
2116472,44.465166,-91.8009877,2001,"WI",2,"HU4_55","HU8_375","HU12_10299",2,3,"MID",44,NA,3.3,3.3,0.0001452
2116498,44.4560087,-91.57937759,2001,"WI",10,"HU4_55","HU8_375","HU12_10297",10,2,"HW",53,NA,NA,NA,NA
2116516,44.44688133,-91.569651,2001,"WI",4,"HU4_55","HU8_375","HU12_10297",4,2,"HW",28,NA,NA,NA,NA
2116610,44.43753153,-91.94393418,2001,"WI",2,"HU4_55","HU8_375","HU12_10301",2,1,"HW",28,NA,NA,NA,NA
2116742,44.3921384,-91.8877895,2001,"WI",8,"HU4_55","HU8_375","HU12_10301",8,2,"HW",34,NA,NA,NA,NA
2116892,44.344258,-91.882555,2001,"WI",4,"HU4_55","HU8_375","HU12_10301",4,3,"MID",28,NA,1.88,1.88,5.264e-05
2117216,44.2261188,-91.6450205,2003,"WI",8,"HU4_55","HU8_375","HU12_10305",8,2,"HW",113,3,NA,3,0.000339
2117228,44.2093497,-91.67839318,2001,"WI",6,"HU4_55","HU8_375","HU12_10305",6,3,"MID",28,NA,2.26,2.26,6.328e-05
2117294,44.18755152,-91.69362741,2001,"WI",8,"HU4_55","HU8_375","HU12_10305",8,3,"MID",41,NA,2.98,2.98,0.00012218
2117424,44.16332512,-91.71208712,2001,"WI",7,"HU4_55","HU8_375","HU12_10305",7,3,"MID",53,NA,2.16,2.16,0.00011448
2118082,44.24962,-91.6649393,2001,"WI",8,"HU4_55","HU8_375","HU12_10305",8,1,"HW",46,NA,NA,NA,NA
2263069,46.00659424,-92.34920798,2005,"WI",24,"HU4_29","HU8_144","HU12_11422",28.155,2,"HW",NA,NA,NA,NA,NA
2263547,46.07443724,-92.29404222,2004,"WI",25,"HU4_29","HU8_144","HU12_10912",31.238,5,"MID",500,NA,72.32,72.32,0.03616
2454048,43.9690694,-90.8202097,2003,"WI",6,"HU4_55","HU8_376","HU12_10332",6.496,2,"HW",156,NA,NA,NA,NA
2454076,43.94661053,-90.7028631,2003,"WI",8,"HU4_55","HU8_376","HU12_12140",8.496,2,"HW",305,8,NA,8,0.00244
2454148,43.89288053,-90.83949954,2001,"WI",5,"HU4_55","HU8_376","HU12_19673",5,4,"MID",NA,NA,6.38,6.38,NA
2454202,43.85536399,-90.82594798,2003,"WI",3,"HU4_55","HU8_376","HU12_19673",3,3,"MID",108,3,NA,3,0.000324
2454320,43.808788,-90.9975913,2001,"WI",3,"HU4_55","HU8_376","HU12_10339",3,2,"HW",240,NA,NA,NA,NA
2454546,43.8815671,-90.92244952,2001,"WI",4,"HU4_55","HU8_376","HU12_10335",4,2,"HW",300,NA,NA,NA,NA
2455456,43.9143131,-91.13962117,2003,"WI",2,"HU4_55","HU8_376","HU12_10340",2,2,"HW",114,3,NA,3,0.000342
2455488,43.9036821,-91.121026,2004,"WI",8,"HU4_55","HU8_376","HU12_10340",9.958,2,"HW",140,NA,NA,NA,NA
2455738,43.8454732,-91.1182211,2001,"WI",2,"HU4_55","HU8_376","HU12_10339",2,3,"MID",192,NA,4.08,4.08,0.00078336
2455768,43.83371912,-91.10069356,2001,"WI",4,"HU4_55","HU8_376","HU12_10339",4,3,"MID",204,NA,3.87,3.87,0.00078948
2455772,43.83475013,-91.1130742,2001,"WI",5,"HU4_55","HU8_376","HU12_10339",5.248,2,"HW",300,NA,NA,NA,NA
