"COMIDv2_JR","LAT_DD","LON_DD","samp_year","samp_length","width","common_name","scientific_name","ind_count","STATE","SPP_CODE_new","obs_spec","slope","exp_rich","shannon","HU4_ZoneID","HUC4","HU8_ZoneID","HU12_ZoneID","StreamOrde","LENGTHKM","CLASS"
2117216,44.2261188,-91.6450205,2003,113,3,"central stoneroller","Campostoma anomalum",6,"WI","CENTRAL_STONEROLLER",8,0.001,8,5.35,"HU4_55","0704","HU8_375","HU12_10305",2,4.676,"HW_stream"
2117216,44.2261188,-91.6450205,2003,113,3,"white sucker","Catostomus commersonii",34,"WI","WHITE_SUCKER",8,0.001,8,5.35,"HU4_55","0704","HU8_375","HU12_10305",2,4.676,"HW_stream"
2117216,44.2261188,-91.6450205,2003,113,3,"brook stickleback","Culaea inconstans",2,"WI","BROOK_STICKLEBACK",8,0.001,8,5.35,"HU4_55","0704","HU8_375","HU12_10305",2,4.676,"HW_stream"
2117216,44.2261188,-91.6450205,2003,113,3,"johnny darter","Etheostoma nigrum",26,"WI","JOHNNY_DARTER",8,0.001,8,5.35,"HU4_55","0704","HU8_375","HU12_10305",2,4.676,"HW_stream"
2117216,44.2261188,-91.6450205,2003,113,3,"fathead minnow","Pimephales promelas",7,"WI","FATHEAD_MINNOW",8,0.001,8,5.35,"HU4_55","0704","HU8_375","HU12_10305",2,4.676,"HW_stream"
2117216,44.2261188,-91.6450205,2003,113,3,"blacknose dace","Rhinichthys atratulus",71,"WI","BLACKNOSE_DACE",8,0.001,8,5.35,"HU4_55","0704","HU8_375","HU12_10305",2,4.676,"HW_stream"
2117216,44.2261188,-91.6450205,2003,113,3,"longnose dace","Rhinichthys cataractae",35,"WI","LONGNOSE_DACE",8,0.001,8,5.35,"HU4_55","0704","HU8_375","HU12_10305",2,4.676,"HW_stream"
2117216,44.2261188,-91.6450205,2003,113,3,"creek chub","Semotilus atromaculatus",6,"WI","CREEK_CHUB",8,0.001,8,5.35,"HU4_55","0704","HU8_375","HU12_10305",2,4.676,"HW_stream"
2732208,44.45867719,-91.10411438,2001,59,NA,"fantail darter","Etheostoma flabellare",2,"WI","FANTAIL_DARTER",8,0.003,8,3.94,"HU4_55","0704","HU8_377","HU12_10308",3,1.086,"MID_stream"
2732208,44.45867719,-91.10411438,2001,59,NA,"johnny darter","Etheostoma nigrum",38,"WI","JOHNNY_DARTER",8,0.003,8,3.94,"HU4_55","0704","HU8_377","HU12_10308",3,1.086,"MID_stream"
