"SITE_ID","SPP_CODE","TOTAL_COUNT","OBSERVED_RICH","EXPECTED_RICH","AREA_sqkm","CONN_CLASS","STATE","TYPE"
"8990078","BROWN_TROUT",70,7,7.498,0.10243062,"MID_stream","MI","stream"
"8991886","ROCK_BASS",5,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","BOWFIN",7,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","WHITE_SUCKER",26,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","SPOTFIN_SHINER",8,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","COMMON_CARP",2,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","REDFIN_PICKEREL",2,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","NORTHERN_PIKE",10,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","PUMPKINSEED",1,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","BURBOT",1,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","SMALLMOUTH_BASS",1,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","SILVER_REDHORSE",41,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","GOLDEN_REDHORSE",106,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","SHORTHEAD_REDHORSE",32,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","GREATER_REDHORSE",24,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","CHINOOK_SALMON",1,16,22.227,0.147696,"MID_stream","MI","stream"
"8991886","WALLEYE",1,16,22.227,0.147696,"MID_stream","MI","stream"
"8990450","WHITE_SUCKER",67,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","JOHNNY_DARTER",27,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","NORTHERN_HOG_SUCKER",1,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","GREEN_SUNFISH",1,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","BLUEGILL",2,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","COMMON_SHINER",7,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","GOLDEN_SHINER",2,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","RAINBOW_TROUT",12,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","BLACKSIDE_DARTER",1,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","BLACKNOSE_DACE",199,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","BROWN_TROUT",98,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","CREEK_CHUB",99,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990450","CENTRAL_MUDMINNOW",8,13,15.246,0.10705205,"MID_stream","MI","stream"
"8990202","WHITE_SUCKER",101,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","JOHNNY_DARTER",23,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","NORTHERN_HOG_SUCKER",2,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","BLUEGILL",1,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","BURBOT",3,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","LARGEMOUTH_BASS",1,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","RAINBOW_TROUT",6,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","YELLOW_PERCH",1,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","BLACKSIDE_DARTER",2,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","BLACKNOSE_DACE",328,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","LONGNOSE_DACE",28,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","BROWN_TROUT",7,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","BROOK_TROUT",66,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","CREEK_CHUB",99,15,17.247,0.0249056,"HW_stream","MI","stream"
"8990202","CENTRAL_MUDMINNOW",8,15,17.247,0.0249056,"HW_stream","MI","stream"
"12133354","ROCK_BASS",1,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","WHITE_SUCKER",4,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","COMMON_CARP",1,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","NORTHERN_HOG_SUCKER",14,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","COMMON_SHINER",2,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","SMALLMOUTH_BASS",7,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","SILVER_REDHORSE",10,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","GOLDEN_REDHORSE",77,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","SHORTHEAD_REDHORSE",108,10,10.996,0.1529025,"MID_stream","MI","stream"
"12133354","LOGPERCH",2,10,10.996,0.1529025,"MID_stream","MI","stream"
"12132378","WHITE_SUCKER",24,6,6,0.01159324,"MID_stream","MI","stream"
"12132378","PUMPKINSEED",2,6,6,0.01159324,"MID_stream","MI","stream"
"12132378","BLACKNOSE_DACE",28,6,6,0.01159324,"MID_stream","MI","stream"
"12132378","BROWN_TROUT",198,6,6,0.01159324,"MID_stream","MI","stream"
"12132378","BROOK_TROUT",2,6,6,0.01159324,"MID_stream","MI","stream"
"12132378","CREEK_CHUB",4,6,6,0.01159324,"MID_stream","MI","stream"
"12120656","ROCK_BASS",12,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","WHITE_SUCKER",23,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","CHESTNUT_LAMPREY",2,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","SMALLMOUTH_BASS",20,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","SILVER_REDHORSE",10,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","BLACK_REDHORSE",1,14,15.49,0.09582921,"MID_stream","MI","stream"
"12120656","SHORTHEAD_REDHORSE",35,14,15.49,0.09582921,"MID_stream","MI","stream"
