"COMIDv2_JR","exp_rich","shannon"
12183703,9,4.108
12189013,4.484,2.907
12189197,10.165,5.576
12203198,16.244,4.329
12206504,6.494,2.349
12211124,11,5.751
12242482,23.497,12.13
12242770,25.38,7.01
12256258,13.995,5.491
12257116,15.23,6.828
12498902,12.482,3.614
12502939,4,2.385
12503351,12,6.952
12503387,3,2.694
12944334,23.461,3.301
12953068,22.974,7.021
12953210,8.975,3.273
12953268,19.998,3.448
12953308,11.993,4.561
12953358,14.998,5.442
12955128,16,6.738
12961725,14.662,8.865
12961811,4,3.14
12962327,9,4.034
12979849,17.998,7.495
12981389,13.486,3.518
12992191,8,5.634
13007330,6,3.007
13015549,30.454,9.785
13019825,11,8.21
13019901,16,12.371
13027587,10.992,4.39
13028347,10.984,4.172
13030899,8,3.693
13032075,29.969,9.705
13039000,22.995,13.178
13045511,18.665,6.806
13048217,15.984,6.794
13048943,17.985,7.362
13057812,3,1.943
13063243,12.497,6.937
13063265,9.5,1.698
13063287,9,5.036
13063291,3,1.806
13063333,8.999,5.095
13063377,12.999,5.18
13063389,10.999,1.547
13063677,7,4.165
13063679,13.166,6.796
13063683,6.485,4.895
13063695,5.497,2.01
13063771,5.495,3.281
13079433,36.948,10.87
13079453,24.489,13.127
13079979,5,3.775
13081995,17.482,5.746
13082035,8.495,5.251
13082179,10.248,5.843
13082229,14.973,9.936
13082283,13.989,7.685
13082483,4,1.944
13082613,21.927,8.656
13082617,13.497,6.672
13082627,12.998,4.635
13082645,10.993,6.699
13082683,7,4.348
13082685,3,1.345
13082687,7,2.589
13082689,14.992,9.807
13082699,16.477,7.763
13082705,7,4.495
13082713,8,6.75
13082717,5,1.991
13082731,7.987,3.59
13082757,20.93,4.786
13082803,4,3.02
13082811,4,3.373
13082817,3,1.935
13082843,4,2.268
13082865,9.495,6.512
13082881,10,6.903
13082891,8.248,4.181
13082901,10.499,3.217
13082909,14,10.009
13082911,14,7.31
13082921,12.984,4.669
13082923,9.246,6.093
13082943,11.994,3.874
13082971,2,1.203
13083029,15,8.838
13083123,12.992,4.564
13083129,6.988,1.334
13083145,8.497,4.596
13083357,24.659,10.967
13083361,19.238,10.734
13083363,3,1.175
13083369,25.496,8.36
13083371,11,6.267
13083379,7.979,4.915
13083383,5.98,3.199
13083393,6,4.259
13084399,22.664,16.123
13084443,13.664,6.48
13084515,6,3.314
13084623,5,2.586
13084727,18.972,7.481
13084781,27.995,8.36
13085403,4,2.742
13085405,9.994,3.16
13085445,3,1.51
13085867,3,2.254
13085997,4,2.669
13096606,27.497,7.732
13096920,32.985,15.491
13097282,5,4.078
13097298,4,3.007
13097860,4,3.416
13097992,7.991,4.07
13097994,7,3.966
13098002,5.496,1.798
13098018,2,2.189
13098022,16.437,8.063
13098028,6,4.182
13098038,8.989,5.611
13098158,11.661,5.523
13098212,11.979,5.193
13098228,17.166,9.949
13098276,7,5.649
13098296,7.485,6.064
13098344,10.986,6.264
13098410,14.499,8.36
13098414,2,2.189
13098416,13.995,5.956
13098424,2,1.267
13098426,15,9.095
13098440,3,2.288
13102955,24.989,12.072
13102959,7.497,4.372
13102961,10,7.539
13102977,15.993,11.629
13102993,18.655,8.283
13103025,3,3.034
